Name,Location,Price,Ratings,Reviews,Reviews Score
Treebo Mangalam,"Ballygunge, Kolkata",2355,Good,Good,169
Townhouse Refresh,Kolkata,1641,Good,Good,68
Hotel O Royal Inn,Kolkata,911,Review score,Review score,62
"Garden Guest House 250m from VFS Global & Rene Tower , acropolis mall",Kolkata,1647,Good,Good,39
Hotel Mayfair Tower,Kolkata,1440,Review score,Review score,25
The Harrington Residency,"Park Street, Kolkata",5000,Excellent,Excellent,292
The Astor,"Park Street, Kolkata",7700,Good,Good,302
Hotel Park Central,"Park Street, Kolkata",2475,Review score,Review score,726
Super Hotel O Red Stone Near Netaji Subhash Chandra Bose International Airport,Kolkata,611,Review score,Review score,46
Amar priya guest house,Kolkata,650,Good,Good,21
Little While global-Capsule hotel -Near metro,Kolkata,720,Excellent,Excellent,17
"Lemon Tree Premier, New Town, Kolkata","New Town, Kolkata",5190,Good,Good,149
Super Hotel O Sarat Bose Road formerly Shree Guest House,"Ballygunge, Kolkata",1564,Review score,Review score,3
BluO Lake View NewTown - Boutique Hotel,"New Town, Kolkata",2368,Very Good,Very Good,37
Princeton Club,Kolkata,3001,Good,Good,50
Lake Land Guest House,Kolkata,2542,Good,Good,15
Treebo Sreema Salt Lake,"Salt Lake, Kolkata",2459,Good,Good,53
FabHotel All In One Saltlake - Opp BJ Market Complex,"Salt Lake, Kolkata",1916,Good,Good,84
Lodge Babul,Kolkata,729,Review score,Review score,72
Hotel Cecil,Kolkata,2494,Very Good,Very Good,400
Calcutta Bungalow,Kolkata,6300,Wonderful,Wonderful,376
FabHotel Sayeeda International - 600m from Park Circus 7 Point,"Ballygunge, Kolkata",2171,Good,Good,92
Kiran Guest House,Kolkata,1135,Good,Good,42
Hotel O The Image A Quality Stay,"Salt Lake, Kolkata",974,Review score,Review score,6
Treebo Royal Orbit,Kolkata,1938,Good,Good,33
Super Hotel O Jalan Regency,Kolkata,1154,Review score,Review score,33
Spot On Sonar Bangla Lodge,Kolkata,905,Review score,Review score,51
FabHotel Kitchen Q Inn - Belaghata,Kolkata,1739,Review score,Review score,14
FabHotel Leela Inn - Nr Park Circus 7 Point,"Park Street, Kolkata",1916,Very Good,Very Good,60
Sidra Guest House,Kolkata,1200,Good,Good,9
Regenta Orkos Kolkata by Royal Orchid Hotels Limited,Kolkata,4099,Good,Good,70
55 B,Kolkata,1836,Very Good,Very Good,6
Collection O The Hastings Club,Kolkata,1532,Review score,Review score,55
FabHotel The Lily - Nr Bisarjan Ghat,"New Town, Kolkata",1725,Good,Good,28
Super Hotel O Eminent Hotel,Kolkata,1779,Review score,Review score,36
FabHotel Amar Raj Inn,"New Town, Kolkata",1391,Excellent,Excellent,78
The Lindsay,Kolkata,3779,Review score,Review score,340
Eco Corporate Inn,Kolkata,1275,Very Good,Very Good,181
ROYAL PALACE,Kolkata,938,Review score,Review score,11
Crossroads,"Salt Lake, Kolkata",1539,Review score,Review score,267
The CORPORATE,Kolkata,4169,Review score,Review score,20
Golden Parkk Hotel,"Park Street, Kolkata",5040,Review score,Review score,208
Park Eastern Hotel,"Park Street, Kolkata",3815,Good,Good,8
Calcutta Backpackers Homestay- For Travellers and Backpackers,Kolkata,1550,Wonderful,Wonderful,65
Itsy Hotels Transit Express,Kolkata,1707,Review score,Review score,373
Pan Asia Continental,Kolkata,4640,Good,Good,10
Lytton Hotel,Kolkata,4125,Review score,Review score,150
Collection O VIP Road Formerly Hotel Heritage,Kolkata,1250,Review score,Review score,73
Hotel Delux,Kolkata,1080,Review score,Review score,7
AltAir Boutique Hotel,"Salt Lake, Kolkata",5625,Good,Good,159
Super Collection O Sealdah Formerly Hamza International,Kolkata,2193,Review score,Review score,137
FabHotel Saltlake Palace - Nr Anandlok Hospital,"Salt Lake, Kolkata",1457,Good,Good,79
Stylish 1RK Serviced Apartment in Tollygunge,Kolkata,2520,Very Good,Very Good,2
Hotel O LAXMI BHAWAN,Kolkata,843,Very Good,Very Good,1
Lavish 2BHK Apartment in Ballygunge Place with Daily Housekeeping,"Ballygunge, Kolkata",4950,Good,Good,2
FabExpress Golden Suites - Nr Park Circus 7 point,"Ballygunge, Kolkata",2044,Good,Good,81
FabHotel MN International - Nr Park Circus,Kolkata,1456,Very Good,Very Good,43
Dear hotel,Kolkata,1500,Review score,Review score,5
home stay guest house,Kolkata,560,Review score,Review score,1
Middleton Inn,"Park Street, Kolkata",3575,Review score,Review score,104
Hotel Senses,"Salt Lake, Kolkata",5865,Review score,Review score,63
Hotel Brill View,Kolkata,1699,Good,Good,9
Sakshi Home Stay,Kolkata,911,Review score,Review score,29
LYNQ-CICO,Kolkata,3220,Good,Good,82
Treebo Vedanta,Kolkata,2229,Good,Good,116
Hotel O Honey Regency Near City Centre Salt Lake,"Salt Lake, Kolkata",880,Review score,Review score,50
Super Collection O Karaya Road Formerly Hotel New Diamond,"Park Street, Kolkata",1563,Review score,Review score,26
Hotel Q Inn,Kolkata,1862,Review score,Review score,19
Stylish 2BHK Service Apartment Near Golpark,Kolkata,4549,No Reviews,No Reviews,Not Available
Hotel S.R royale,Kolkata,1200,Review score,Review score,85
